agency_name,parent_company
Abellio Greater Anglia,Abellio
Arriva Trains Wales,Arriva
c2c,National Express
Chiltern Railways,Arriva
CrossCountry,Arriva
Crossrail,MTR
East Coast,Virgin/Stagecoach
East Midlands Trains,Stagecoach
First Great Western,First
First Hull Trains,First
First TransPennine Express,First
Gatwick Express,Govia
Grand Central,Arriva
Great Northern,Govia
Heathrow Connect,Heathrow Airport
Heathrow Express,Heathrow Airport
Island Line,Stagecoach
London Midland,Govia
London Overground,Arriva/MTR
London Underground,Transport for London
Merseyrail,Serco/Abellio
Nexus (Tyne & Wear Metro),Arriva
Northern Rail,Serco/Abellio
ScotRail,Abellio
Serco Caledonian Sleeper,Serco
Southeastern,Govia
Southern,Govia
South West Trains,Stagecoach
Thameslink,Govia
Virgin Trains,Virgin/Stagecoach
